category,recipe
0,"in a large pot , cook your angel hair pasta until almost al dente drain well , put in a bowl and set aside in a small tupperware container with a lid , mix sesame oil , soy sauce , honey , garlic and sesame seeds put the lid on the container and shake , shake , shake it like a polaroid picture pour the sauce over the angel hair and toss well the heat of the pasta will cook the garlic a bit so it won't be totally raw mix in the green onions and stir fry veggies serve"
0,"mix starter ingredients in a bowl and let stand at room temperature undisturbed for 24 to 36 hours place starter in a medium bowl and combine it with the""first day"" ingredients cover and refrigerate stir once a day for 5 days on the 5th day , place in a larger bowl and add the""fifth day"" ingredients cover and refrigerate stir once a day for 5 more days remove 3 separate cups of starter and give each cup to 3 friends with the recipe and instructions preheat oven to 350 degrees combine all of the""tenth day"" ingredients with the remaining mixture pour into a greased and floured 9 x 13"" pan combine topping ingredients and sprinkle on top bake for 40- 50 minutes"
0,"mix the herbs and vinegar together in a jar seal and leave in a warm place for 2 weeks , shaking often strain the vinegar through cheesecloth and then through coffee filter paper pour into sterilised bottles and add 2-3 sprigs of fresh herb to each bottle seal with acid-proof lids or bottle tops"
0,"combine eggs , flour , baking powder , salt& pepper with the corn mix thoroughly add cream to mixture melt fat in frying pan& drop corn mixture by spoonfuls into the hot fat brown on both sides serve w / syrup"
0,"thaw peas by running hot water over them in a strainer until they are bright green puree peas in food processor add 1 / 4 of one avocado , salt , and juice of one lemon or lime puree again and transfer to a bowl coarsely mash the remaining avocado and stir in tomato and onion taste and add more salt / lemon to your taste stir in cilantro"
0,put a slice of tomato on each biscuit / cracker smear with little mayo and sprinkle black pepper munch without guilt !
0,"in a pot , cover carrots with water to cover bring to a boil , then lower heat simmer 10 minutes or until just tender while simmering carrots , pour contents of can of tomatoes into a bowl and squish into little pieces with your hands wash hands blend chili powder , cumin , oregano , and cayenne into tomatoes take the 2 tbs of flour and blend with 1 / 4 cup cold water in a small cup pour this into tomato mixture and stir to blend drain carrots , and cut into 3 / 4 in pieces put both aside for now melt butter on medium heat in a large fring pan add onion , mushrooms , zucchini , celery , green pepper , and garlic and saute stir continuously until onion is limp stir tomato mixture into frying pan and bring to a simmer cover and simmer for 2 or 3 minutes , then uncover and cook for about 5 minutes over med-high heat until liquid has evaporated stir in carrots and cheese salt to taste when cheese has melted put pan in refrigerator to quickly cool vegetables stir now and then to help cool faster now , begin empanada crust resift flour with baking powder in a bowl quickly cut butter and shortening into bowl until it looks like a coarse meal make a well in the center add soy sauce and cold water together stir vigorously with a fork until dough follows the fork around bowl personal observation: the dough seems rather""frothy"" at this point turn dough onto a lightly floured surface and knead gently for about 10 folds to remove stickyness divide dough into 8 equal pieces make into a ball and roll into an 8 inch circle spoon about 3 / 4 cup vegetable filling onto center of circle moisten edges of circle with water and bring together at top , pinching and fluting edges mine looked like balls of dough and turned out fine lift empanada onto ungreased cookie sheet repeat until done if you fill more than one cookie sheet put the full one in the refrigerator when done , prick the top of each empanada with a fork and brush with egg and water mixture if you are going to cook some of them right away , pre-heat oven to 400 and cook 25 to 30 minutes on an ungreased cookie sheet take the ones for later and freeze uncovered on cookie sheet overnight when frozen solid wrap in foil or put in freezer bags label with instructions: bake uncovered in pre-heated 425 degree oven for 30 minutes let cool some before serving"
0,preheat oven to 325 degrees and grease and flour a tube or bundt pan combine all ingredients in a large bowl and blend at low speed beat 3 minutes at medium speed pour into prepared pan bake for 1 hour or until top springs back when touched lightly in center cool in pan for about 15 minutes then remove and cool completely on rack serve plain or glaze if you like
0,"in a small saucepan , saut onion and mushrooms in a small amount oil mix dissolved cornstarch into a cup of vegetable broth slowly add to onions and mushrooms add the other ingredients too check the seasonings and cook gently until thickened use on vegetables , over cooked rice or noodles , in casseroles , or over mashed potatoes"
0,"core the apples , but it isn't necessary to peel them i like the texture of having the peels in the sauce dice them very fine tumble everything into a large pot and bring to a boil reduce to the slowest simmer you can arrange on your stove so the sauce won't burn on the bottom of the pot cover , stirring occasionally , until you reach the consistency you want the longer , the finer texture i usually cook it about 3 hours"
0,spread a tablespoon on one side of each slice on bread peel and cut the bananas into 1 / 4-inch round slices lay the slices on two of the slices of bread and then top with the other half enjoy !
0,"start with the topping , in a frying pan , dry fry the coconut and peanuts until golden brown , tossing it so it wont burn , remove from the pan and let cool mix together the soy sauce , cayenne , sambal , ginger , sugar , garlic and water , set aside , you will use this after you fried the tempeh in a wok or frying pan , heat the tablespoon of oil , fry the onion and garlic for one minute , add the coriander , cumin and if you use them the chili peppers , fry this for two minutes add the carrots , beans and tomatoes , fry until you see the tomatoes going soft , add the stock , bring to the boil and simmer for about 10 minutes heat the oil in a frying pan large enough to hold the tempeh strips in one layer fry the tempeh until golden , it will soak up the oil , this is normal lower the heat when you see them starting to color but fry for a few minutes more , add the soy mix , stir to coat and add to the vegetables , mix by now the tomatoes should have made a sauce and have dissolved taste to see if you want to add more sambal and / or sugar now add the bean sprouts , cook further until you see them go limp transfer to serving dish , sprinkle with 2 tablespoons of the coconut and peanut mixture , serve with rice and the remaining topping on the side"
0,"peel and pit avocado , put in a large mixing bowl add entire block of tofu and salsa combine ingredients using a hand mixer on medium speed for about 1 minute or until the mixture becomes smooth add remaining ingredients , mix on low speed until all ingredients are blended together chill for one hour and serve store leftovers in the fridge in an air-tight container"
0,"place all ingredients in blender blend until very smooth serve immediately for a vegan smoothie , make with soy milk and soy yogurt"
0,"toss everything well in a serving bowl grab a fork or large spoon and eat immediately , or refrigerate until hunger strikes , and then eat ! feel extremely pleased with yourself that you snacked on this instead of that bag of chips you were eyeing proceed to eat several helpings of dessert after dinner as reward"
0,"bring a large pot of water to boil add rice noodles and cook one minute , or until just tender drain well , then rinse gently in cold water to cool the noodles drain again and place in a large bowl with remaining ingredients gently toss to combine this salad can be made several hours in advance keep refrigerated until needed"
0,"squeeze as much liquid as possible out of the artichoke hearts and drain them on paper towels roll each heart in egg wash , and then roll in breadcrumbs until well-coated deep fry for one to two minutes until lightly browned and slightly crispy melt butter and garlic in a small , individual saut pan saut hearts for two minutes in the garlic butter , basting each heart and taking care not to burn the butter or garlic serve right in the pan with firm bread such as french or italian"
0,"mix all cake ingredients till well blended bake in 2 greased round cake pans in 350f oven for 30 minutes cool , while cake cools completely mix filling and spread between cooled cake rounds and frost with grandmas fudge frosting must refrigerate if serve with pudding filling prep time does not include cooling time"
0,"adjust an oven rack to lowest position and heat oven to 400f prepare pie crust for blind baking bake crust for 15 minutes remove parchment from crust , prick any bubbles with a sharp fork and bake shell for 8 to 10 minutes longer , or until bottom just begins to color remove crust from oven and brush lightly with egg white while still hot process pumpkin , sugar , spices and salt ingredients in a food processor fitted with steel blade for 1 minute transfer mixture to a 3-quart heavy saucepan bring it to a sputtering simmer over medium-high heat cook pumpkin , stirring constantly , until thick and shiny , about 5 minutes as soon as pie shell comes out of oven , whisk heavy cream and milk into pumpkin and bring to a bare simmer process eggs in food processor until whites and yolks are mixed , about 5 seconds gradually pour hot pumpkin mixture through feed tube while still running process 30 seconds pour warm filling into hot pie shell put a crust shield on completed pie and bake about 25 minutes filling will be dry-looking and lightly cracked around the edge the center will wiggle when pie is gently shaken cool on a wire rack to a warm room temperature serve with slightly sweetened whipped cream"
0,"add 1 / 2 cup old-fashioned oats and 1 cup water into a large microwaveable bowl cook in microwave on 50% power for 6 minutes place frozen berries in small bowl and defrost in microwave until the juice from the berries is released add defrosted berries , sugar free syrup , butter spray , and flax seed together and stir well enjoy !"
0,"prepare spaghetti squash by piercing the skin with a fork and boiling for approximately 25-30 minutes split spaghetti squash lengthwise , spoon out the seeds and use a fork to remove the spaghetti strands from the squash snap off the ends of the asparagus and cut into 1"" pieces slice mushrooms , red bell pepper , and garlic thinly saute all vegetables and garlic on medium-high heat in non-stick skillet until cooked and tender lightly salt and pepper for added flavor add spaghetti sauce to skillet and cook for about 5 minutes place spaghetti squash strands in the bottom of a casserole dish and pour the sauce saute evenly over it crush italian seasoning lightly in your palm and sprinkle over the casserole spread shredded part-skim mozzarella and reduced fat grated parmesan cheese over the top bake at 350f for about 25 minutes"
0,"for crust: melt margarine and blend well with graham cracker cumbs and sweetener press well into bottom of spring-form pan or round cake pan bake at 350f for 10 minutes let cool filling: mash tofu with vegan cream cheese add all other ingredients to tofu mixture and whip with hand mixer until well blended and very creamy try to get all tofu lumps out pour into crust and bake at 350f for 45-50 minutes turn off oven and leave in for 15 minutes more to help set center when done edges should be golden and starting to pull away from sides of pan , center should be soft set cool about an hour then refrigerate another 3 hours to set center keep refrigerated helpful hints: draining the tofu well is important too much liquid and the center won't set well after slicing the cake place a paper towel in the cut out section before returning it to the frige this will absorb any fluid that will condense on the plate or in the pan and keep the bottom of the cake from getting too soggy"
0,"place all ingredients except for banana , apple and paprika , in a stock pot cover , cook on low-medium heat until vegetables are soft , about 20 minutes add banana , apple and paprika last 5 minutes of cooking heat through once heated , puree soup if desired just before serving , season soup with salt to taste garnish with cilantro leaves and pumpkin seeds or , if you wish , garnish each serving with a swirl of pesto made with pumpkin seeds ]]"
0,"in a 4 quart pot , saut the mushrooms in butter till tender add garlic saut on low heat 5 minutes in a blender , pure the cashews with the water until very smooth add to the mushrooms add the bouillon and cook on low heat , stirring frequently , until the soup begins to thicken add parsley and nutmeg serve"
0,"peel mangoes and remove as much flesh around pit as you can peel oranges if you have a good blender , don't worry about the orange seeds , they'll get blended up just fine , as well as the vanilla bean put all ingredients in blender , blend to desired consistency and consume ! makes 3 large servings"
0,"heat olive oil in a 4-quart pot sautee the sliced leeks about 5 minutes or until slightly tender add garlic and sautee another minute or so add potatoes and broth bring to a boil reduce heat to medium and simmer 20 minutes or until potatoes and leeks are quite tender add beans , rosemary , salt , and pepper , and more broth , if necessary puree until smooth , using an immersion blender or in small batches in a regular blender if necessary , return to heat until warm enough sprinkle with soy cheese , if desired"
0,"salad in salad bowl , tear lettuce and add green or red onion and seasonings toss and smooth greens so top is uniformly level formal attire proceed to ""dress up"" the salad by making a 1"" ring of grated carrot around edge of bowl thick enough to cover the greens then make rings inside this of corn , then green pepper , then beets or tomatoes then mushroom slices piled in the center circle if using beets and tomatoes both , make it tomatoes then a ring of mushrooms then a mound of shredded beets in center make sure rings are thick enough to cover all the ""naked"" greens you can use any vegetables of your choice to make the rings , such as radishes , olives or water chestnuts , but i prefer the varying colors and blend of flavors of the above cover with plastic wrap and refrigerate until ready to place it on buffet or dinner table secret dressing make secret dressing by placing cut pieces of ginger root and vinegar in a blender and blend until smooth press through a mesh strainer over a bowl , squeezing out pulp to get more liquid into bowl pour liquid back into rinsed-out blender add honey , garlic and soy sauce blend well slowly add oil while blender is on low to mix pour into a jar with cover , shake and refrigerate when ready to serve salad , shake jar and pour into a cruet for guests to pour their own presentation put salad on buffet or dinner table and after everyone oohs and aahs , toss well and serve with secret dressing in a cruet for them to pour on desired amount"
0,"preheat oven to 375c beat eggs , add sugar , oil , milk and molasses mix thoroughly in another bowl , add all flour , baking powder , baking soda , salt and bran together mix thoroughly add raisins , sesame seeds , and sunflower seeds to the dry mix mix again add dry ingredients to wet ingredients mix well mixture will appear quite wet , but will thicken up quickly line muffin pan with muffin cups fill 3 / 4 full bake for 14-15 minutes"
0,"add all ingredients , except greens to a blender stuff the rest of the blender with greens - about three to five good handfuls - they shrink when blended ! lettuce , romaine , spinach , chard , kale , collards , parsley , or whatever you have in the fridge or garden blend until smooth you could use more fruit than greens and slowly add more greens as you get used to them"
0,"preheat oven to 425f mix pumpkin , milk , and egg whites until smooth gradually stir in splenda add the pumpkin pie spice taste and add more if need be pour into crust and spread evenly bake in the oven for 15 minutes then reduce the temperature to 350f and bake for another 45 minutes let cool and serve your favorite way to make to crust less likely to turn soggy , beat some egg whites and brush over the crust and bake at 350f for about 5 minutes"
0,"bring rice and 3 cups water to a boil in medium sauce pan reduce heat to low , cover and simmer 40 minutes or until water is absorbed by rice meanwhile , heat oil in large skillet over medium heat add onion , bell pepper , corn , chipotle , adobo sauce , garlic , cumin and salt saut 2 minutes , then reduce heat to low cover and cook 15 minutes or until vegetables are tender , stirring once or twice whisk 1 / 2 cup cornmeal in bowl add to skillet mixture and cover and cook on low for 10 minutes more stirring once or twice remove from heat , and stir in hot rice , cilantro , lime juice and zest cool 20 minutes wet hands and shape mixture into 8 burgers refrigerate 30 minutes prepare grill to medium heat brush burgers and grill rack with olive oil grill 7 minutes per side or until crusty on the outside"
0,"boil water , take off heat and add tea bag let steep add rice and all other ingredients except butter , bring back to a boil reduce heat , cover and simmer for 20 minutes remove from heat , stir in butter until completely melted"
0,"pour the limeade mix in the blender add the strawberries , mangoes , sherbet / sorbet and ice cubes blend until you have a smooth consistency pour into glass and drink up"
0,"pour the apple juice in the blender add the strawberries , bananas , frozen yogurt and ice cubes blend until smooth with a thick consistency if vegan use suitable sugar"
0,"in mixing bowl add spinach dip and sour cream mix and add corn and mix again melt margarine in microwave add stovetop dressing or dressing cubes , pour over the melted margarine mix well add 1 / 4 tsp salt or salt substitute add pepper to taste mix preheat oven 375f spray pam in a round deep 1 1 / 2 quart casserole dish pile into casserole dish place foil on top cook 25 minutes"
0,"combine cream cheese and cool whip fold fruits into cream cheese mixture crumble half of the cake or any other sort of sweet crumbs in a glass layer some of the fruit mixture , the rest of the cake , then the rest of the fruit enjoy !"
0,"preheat the oven to 200c wash the potatoes to remove any dirt , pat dry with paper towels prick the potatoes all over with a fork , brush with olive oil and season to taste with salt and pepper place the potatoes on a lightly greased baking tray and bake for about an hour or until cooked through cool for about 10 minutes while the potatoes are roasting , drain the chickpeas , place in a large mixing bowl and mash with a fork add the ground coriander , the cumin , the crushed garlic and half the fresh coriander cover the bowl with with plastic wrap , and set aside once they have cooled , taking care to keep the shells intact , halve the cooked potatoes and scoop out the flesh mash the potato flesh until smooth and gently mix with the chickpea mixture fold in the yoghurt and tahini , and add a little more of either of these if the mixture seems too dry , season with the pepper and salt , to taste place the potato shells on a lightly greased baking tray and fill them with the potato and chickpea mixture place the filled potato shells in the oven and bake for 10-15 minutes , or until heated through serve the potatoes with the remaining half of the chopped coriander"
0,"whisk together vinegar , maple syrup , soy sauce , sesame oil , and gingerroot in a small bowl in a large bowl , combine cabbage , onions , carrots and apple pour dressing over salad and mix well refrigerate for 1 hour before serving"
0,"preheat oven to 375 slice ends off of eggplant , and cut it lengthwise into 1 / 2-inch strips use a paper towel to blot eggplant slices on both sides spray a large baking pan with nonstick spray season crumbs with garlic powder , salt , pepper and , if you like , additional seasonings coat eggplant slices on both sides -- first with egg whites , and then with fiber one crumbs place slices flat on the baking pan , and cook in the oven for 30 minutes then , flip slices over and bake until browned on both sides remove pan from oven , but leave oven on spread 1 / 4 cup of sauce over the bottom of an 8x8-inch baking dish sprayed lightly with nonstick spray arrange half of the baked eggplant slices evenly over the sauce continue to layer ingredients evenly in this order: sauce , mozzarella and parm topping , sauce , eggplant , sauce , and cheeses cover dish with foil and return to the oven bake for 25 minutes , or until heated throughout allow to cool slightly , and then cut into quarters"
0,"in a bowl combine eggs , sugar , flour and milk grease a stoneware dish with all the butter pour in the dough and add fruit , raisins or almonds to taste bake in the cold oven at 180c for about 60 minutes or until custard has set you might need to cover the dish after 40 minutes or so allow to stand and set for at least 10 minutes before serving"
0,"cook onions& garlic with ghee on low heat when onions golden , add carrots and shortly after potatoes after 2 minutes add beans do not rinse beans add bean""juice"" as well cover veges with water plus a little bit add curry / garam masala bring to a boil simmer for 20 minutes or until veqes are done salt , pepper and spice to taste if needed , add corn starch to thicken"
0,"preheat oven to gas mark 8 cut your potatoes into 1 inch chunks toss in a bowl the potatoes in the oil with the rosemary and lemon juice and lemon zest and garlic chuck the lot onto a baking tray not forgetting to scrape herbs and oil from the bowl bake for twenty minutes while listening to funky tunes and enjoying the yumminess that is to come check that potatoes are firm yet ""give"" with a fork squish them a little bit with a fork and put back in oven for another 10 minutes on gas mark 3 listen to more tunes serve with a squirt of fresh lemon and with greek or curry or vegan stuff or just eat out of pan i suggest tatskiki you can pulverize this into a dip using more olive oil and lemon juice or eat it chunky i like chunks i reckon this would make an ace potato salad base i absolutely hate mayonnaise , so there's no chance of me making that ever ! however you're welcome to try--i'll let you"
0,"place beans in a large bowl and sit aside heat oil in a large frying pan add onion , garlic , corn and cumin saut about 2-3 minutes over medium heat add your green chili sauce and saut another minute or two place in bowl with beans , let cool and mash with stick blender , it is okay if not every piece is mashed add salsa , chili powder , flour and breadcrumbs stir to blend ingredients with a rubber spatula form in 4 patties and place on wax paper store in tupperware until ready to cook to cook , spray on one side and saut on medium heat until browned , repeat on other side i serve these on toasted burger buns with pepperjack cheese , mayo , lettuce and tomato but serve it as you like"
0,blend well and chill enjoy !
0,"working in batches , pan fry the garlic and zucchini until lightly browned , turning once to brown both sides while sauting the above , toast the bread on each slice of bread spread layer of mayonnaise , salt and pepper to taste , and coat with layer of parmesan cheese on one half of sandwich put sauted zucchini on one half put fresh tomato slices put halves together and you have a marriage of flavor made in heaven"
0,"throw all the ingredients into a large pot , bring to a boil , then simmer for about 2 hours , or until the peas have completely softened make sure you stir this frequently as it will have a tendency to stick to the pot add more water if gets too thick"
0,"preheat oven to 350f grate the zucchini , and measure out four cups add to large mixing bowl add eggs , fat , cinnamon , salt , baking soda , vanilla and sugar stir together well add flour to the mixture , a bit at a time stir until all ingredients are mixed the mixture should resemble thick pancake batter if it is too thick , add another egg add nuts , if desired lightly grease and flour your bread pans , or spray them with nonstick cooking spray carefully spoon the mixture into bread pans , stopping when the mixture is about 3 / 4 of the way to the top bake for 35 minutes , or until a golden brown take out loaves , and let them cool five minutes before removing the bread from the pans to finish cooling on a wire rack"
0,"chop or partially puree tomatoes to your liking heat oil in large pan add onion and celery , saute for about 10 minutes or until onion and celery are soft add zucchini and cook until soft add tomatoes , sugar and salt bring to boil , and turn down to a simmer simmer for 30 minutes cool and pack into freezer containers freeze up to 3 months"
0,"add the cold butter cubes and , with a pastry blender , blend in the flour until mixture becomes mealy ans butter forms peas-size nuggets plainly visible in the flour the water should be added to the flour slowly to ensure that only the minimum amount of water is used do not over-mix the dough when the dough has been mixed just sufficiently to combine the ingredients , form it into a ball and wrap in a piece of plastic wrap and refrigerate for several hours to prepare the filling , melt the butter in a large saute pan until it begins to brown add the sliced apples and cook over medium heat until they begin to soften , about 2 to 3 minutes in a bowl , combine the lemon juice , sugars , southern comfort , and cinnamon add this mixture to the apples and cook 2 to 3 minutes over medium-high heat until the apples are completely caramelized and covered with all the sugar remove filling from the heat and allow to cool preheat the oven to 375 degrees when ready to use , remove the dough from the refrigerator , lightly flour a pastry board and a rolling pin , and unwrap the dough divide the dough into 2 equal pieces and begin to roll out into a circle by rolling evenly outward from the center and turning the dough in small 1 / 8th turns to keep the rolling even when the dough is rolled out to an even thickness and is about 12 inches in diameter and 1 / 8-inch thick , it is ready to be transferred to a 10-inch pie pan or plate lightly butter the pie plate , partially roll the dough up on the rolling pin , lift the dough and center it in the pie pan and unroll roll the second half of the pie dough into a round slightly larger than the pie pan fill the bottom crust with the cooked apples using a slotted spoon to drain the apples reserve juices if desired , for sauce brush an egg wash coating over the lip of the dough this is where it will be sealed to the top crust cover the apples with the top half of the pie dough trim any excess from the top crust before using both hands to crimp the edges of the two crust together to seal with a sharp knife , make several crosshatch slits in the top crust brush with the egg wash and bake for 35 to 40 minutes remove from the oven and cool 20 minutes serve with vanilla ice cream reserved juices can be reduced with heavy cream for a sauce for the pie"
0,mix all ingredients in a glass bowl cover and chill for 24 hours before serving delicious !
0,"preheat the oven to 180c / 350f in a big bowl cream butter , sugar and vanilla little by little add the milk and the eggs in a second bowl mix flour , baking powder and starch add to the butter-mixture and stirr in until just blended using 2 tablespoons drop 6 heaps of dough onto each paper-lined baking sheet make sure to leave enough space in between the heaps as dough will spread during baking bake for 15 minutes or until golden brown transfer to a wire-rack and allow to cool if using the glaze stir together icing sugar and lemon juice and spread this onto the even side of the amerikaner idea: for children you can spread the curved side of the biscuit with a chocolate icing and stick slivered almonds into them to make them appear like little hedgehogs :)"
0,cream butter in a small bowl with an electric mixer transfer to blender or food processor add remaining ingredients and blend well place butter in plastic wrap and form into a log shape or place in a ramekin and cover tightly
0,"cut off beet greens from the beets but leave about an inch or two of the tops on the beets option:mince removed beet tops to add later scrub the beets well in a large pot , add beets and cover with cold water bring the water to a boil and boil this for about 15-25 minutes until the beets are cooked remove the beets from the water save the water from the beets remove the skins from the beets strain the""beet juice"" into a pot peel and grate the onion grate the beets put the grated onion and beets into the pot with the strained beet juice option:you can add the finely chopped / minced beet tops , if you want to use them bring all to a quick boil add the salt , lemon juice , pepper , and honey , simmer until the honey has dissolved and all is well heated serve , garnished with a dollop of sour cream"
0,"preheat the oven to 325f mix together the dry ingredients in a large bowl mix together the liquid ingredients in a smaller bowl , then stir them into the dry ingredients until completely blended knead the dough in the bowl for a couple minutes , then place on a sheet of foil and shape into a log about 6 to 8 inches long wrap the foil tightly around the log and twist the ends bake for 80 minutes slice or chop as desired , and serve immediately or store in the refrigerator or freezer"
0,mix all ingredients in blender until smooth
0,add boiling water to gelatin mix in large bowl stir 2 minutes until completely dissolved add ice stir 3 to 5 minutes or until gelatin is thickened remove any unmelted ice whisk in 1 / 3 cup cool whip until blended pour into 4 dessert dishes refrigerate 30 minutes or until firm drop remaining cool whip by spoonfuls onto desserts to resemble ghosts add chocolate chips for the eyes kraft kitchens how to thaw cool whip whipped topping: the best way to thaw frozen cool whip whipped topping is in its container in the refrigerator depending on the size tub you havem the thawing time varies recommended thawing times are: 8-ounce tube - 4 hours 12-ounce tub - 5 hours 16-ounce tub - 6 hours we do not recommend thawing cool whip whipped topping in the microwave
0,"slice carrots and steam , set aside saute parsley and garlic for 1 minute in an oiled pan add carrots and veggie broth simmer uncovered for 5 minutes add tofu , vegan cream cheese , and lemon juice stir well cook over medium heat stirring constantly until ""cheese"" starts to melt stir in nutmeg and nutritional yeast remove from heat keep warm place 3 lasagna noodles in bottom of 11x7 baking dish layer carrot mixture , noodles , tomato sauce and spinach until done top with spaghetti sauce cover and bake 15 minutes at 375 degrees uncover and bake an additional 30 minutes until thoroughly heated"
0,"slice onions in half latitudinally , peel , cut off tops cut in half again , the other way turn on the flat side and cut each quarter into thirds or fourths , to get fairly uniform , fairly thin half-rings of onion in a sturdy saucepan over medium-high heat , melt butter watch carefully to make sure it doesn't separate just before butter melts completely , add onions cook , stirring fairly frequently , until they are soft , clear , and just on the edge of caramelizing add flour all at once to the middle of the pan carefully and evenly work onions and butter into the flour , stirring constantly , until all onions are completely coated with flour-butter paste cook this mixture , stirring constantly , until it is a medium golden-brown add stock slowly while stirring constantly to avoid lumps add water until soup is just a little thinner than desired consistency salt lightly cover , and bring just to a boil reduce heat to medium simmer , partially covered but vented , about 20 minutes or until soup is desired consistency taste for seasoning and salt to taste"
0,"i keep drained yogurt available in my fridge all the time i use a coffee filter and a wire strainer i usually drain it over night , but even a half hour makes a big difference once you drain the yogurt , it becomes very thick and much less tart cook spinach according to package directions while it cooks , saute chopped onions until slightly browned drain spinach well and combine with all other ingredients while still hot"
0,"chop mushrooms finely spray a large non-stick pot with cooking spray and place over medium heat add 1 / 2 cup of the chopped mushrooms and cook until tender remove to a bowl add the butter to the pot , along with the garlic and onions cook for 3 minutes , stirring add the mushrooms and cook , stirring , until tender add the mushroom broth , white beans , and seasonings bring to a boil , reduce heat , cover , and simmer for about 8-10 minutes , letting the flavors cook together remove from heat and let cool slightly with an immersion blender or a food processor , puree the soup if you have reserved mushroom pieces , stir them back into the soup as you reheat over medium garnish with parmesan cheese if desired !"
0,"whisk together the eggs and sugar in a large stainless steel or glass bowl place the bowl over a large 3 or 4 quart saucepan filled with simmering water with the heat on low , whisk the mixture vigorously and continuously until you can form ribbons this is where you can lift the whisk out of the mixture , write your name , and it doesnt disappear for about 5 to 10 seconds this can take as long as 30 minutes my son and i used a black and decker gizmo and it took about 15 minutes but was somewhat messy slowly whisk in the cream split and scrape the vanilla beans into the mixture put the vanilla beans in there too stir often with the whisk until the mixture can coat a spoon with only a slow drip it will be about the consistency of vegetable oil remove the custard from the stove and whisk in the butter , one pat at a time when the butter is fully melted , strain the mixture through a sieve and transfer it into ramekins or custard cups be sure to leave about inch for the last step you can transfer it into a bowl and chill first before putting it in ramekins place in refrigerator until cold remove the cups from the refrigerator and sprinkle sugar on top until it is about 1 / 8 inch thick heat the tops of the custard with a kitchen torch until the sugar is caramelized"
0,"turn the machine quickly from variable speed 1 to 10 then flip the switch to high push the ingredients down into the blades until the entire mixture is blending i find it easier to push the food continuously down one corner of the container and eventually it begins to blend the apple may require a bit of ""pounding"" before it begins to mix when the mixture is first blending it should be so thick and slushy that it is thick like a thick ""slushy"" if it is too liquid at the beginning , add more ice so it is thick and ""slushy"" this allows you to blend for 1-2 minutes without warming the drink up from the friction of the blades it also allows you to break the foods down to the most bioavailable level this is a ""beginner"" green smoothie that 98% of the population will love !"
